"","Tempo","ID_maquina","volt","rotacao","pressao","vibracao","tipo_erro","falha","modelo","idade_maquina","comp_subst"
"1",2016-01-28 14:00:00,"13",NA,491.267480145557,97.2230098008006,39.9028865487574,NA,NA,"model1",15,NA
"2",2016-01-28 14:00:00,"14",161.509949500865,409.676698668249,92.0093982254836,32.2137297613757,NA,NA,"model3",1,NA
"3",2016-01-28 14:00:00,"15",174.441092963241,384.106522564787,87.3568158373548,42.210903562176,NA,NA,"model3",14,NA
"4",2016-01-28 14:00:00,"16",NA,466.701022130101,110.222192471091,32.2871205161325,NA,NA,"model1",3,NA
"5",2016-01-28 14:00:00,"17",NA,458.626628458323,79.5625496700954,42.2423744952238,NA,NA,"model1",14,NA
"6",2016-01-28 14:00:00,"18",189.645765920082,479.252571375948,110.431083091603,47.119780686857,NA,NA,"model3",15,NA
"7",2016-01-28 14:00:00,"19",163.392062479613,434.338316529296,102.034418385822,43.6063089891231,NA,NA,"model3",17,NA
"8",2016-01-28 14:00:00,"20",NA,472.036538271653,108.531401145549,43.5236887865158,NA,NA,"model2",16,NA
"9",2016-01-28 15:00:00,"10",NA,430.910338873226,88.786961419824,39.0001840762708,NA,NA,"model3",10,NA
"10",2016-01-28 15:00:00,"11",NA,374.996911753214,130.416922105624,35.8189110623494,NA,NA,"model2",6,NA
"11",2016-01-28 15:00:00,"12",153.28043204818,395.425851933212,93.3101806012894,41.0873266497876,NA,NA,"model3",9,NA
"12",2016-01-28 15:00:00,"13",189.58743931829,497.599459116324,87.7402716632697,40.8099960147964,NA,NA,"model1",15,NA
"13",2016-01-28 15:00:00,"14",NA,343.719340144982,112.72804714302,41.3735078925424,NA,NA,"model3",1,NA
"14",2016-01-28 15:00:00,"15",NA,366.331695940385,95.0267124048579,NA,NA,NA,"model3",14,NA
"15",2016-01-28 15:00:00,"16",NA,468.516299763989,97.7379986171929,43.6414768114681,NA,NA,"model1",3,NA
"16",2016-01-28 15:00:00,"17",NA,389.714061155403,102.843085142265,50.0382724629253,NA,NA,"model1",14,NA
"17",2016-01-28 15:00:00,"18",NA,478.081887181758,91.8410969487682,49.3943263442936,NA,NA,"model3",15,NA
"18",2016-01-28 15:00:00,"19",169.829972770665,427.576587916205,103.731504020528,41.8937081638748,NA,NA,"model3",17,NA
"19",2016-01-28 15:00:00,"20",NA,397.129815992235,106.013588012171,43.3448225733157,NA,NA,"model2",16,NA
"20",2016-01-28 16:00:00,"10",NA,466.357350990108,101.620674489685,NA,NA,NA,"model3",10,NA
"21",2016-01-28 16:00:00,"11",NA,427.840865252528,114.143911500892,47.4307924002403,NA,NA,"model2",6,NA
"22",2016-01-28 16:00:00,"12",166.303059537363,427.111549569264,87.8469903023325,44.2945115418624,NA,NA,"model3",9,NA
"23",2016-01-28 16:00:00,"13",167.950455934604,394.7123359968,99.1756177040856,36.4582872771619,NA,NA,"model1",15,NA
"24",2016-01-28 16:00:00,"14",NA,441.809961885508,129.935094081347,45.2485797099741,NA,NA,"model3",1,NA
"25",2016-01-28 16:00:00,"15",145.097070568913,425.344210461795,96.6972878292323,43.371662094394,NA,NA,"model3",14,NA
"26",2016-01-28 16:00:00,"16",NA,417.634643181641,101.3105426166,39.3498993594229,NA,NA,"model1",3,NA
"27",2016-01-28 16:00:00,"17",155.881839547008,480.169910446444,116.350405744501,38.5787858295524,NA,NA,"model1",14,NA
"28",2016-01-28 16:00:00,"18",180.75380988828,350.716934164687,90.7201178297043,50.9210623129342,NA,NA,"model3",15,NA
"29",2016-01-28 16:00:00,"19",NA,495.147829516786,98.2531590695644,45.6003637593778,NA,NA,"model3",17,NA
"30",2016-01-28 16:00:00,"20",NA,515.141771047474,111.026478423146,40.3819625358093,NA,NA,"model2",16,NA
"31",2016-01-28 17:00:00,"10",180.229477081773,492.742262086276,109.842992934979,42.0177380140906,NA,NA,"model3",10,NA
"32",2016-01-28 17:00:00,"11",174.389747997818,410.237364268739,135.819108103705,35.9416508854853,NA,NA,"model2",6,NA
"33",2016-01-28 17:00:00,"12",184.570240520974,454.883580993604,104.487973601366,32.4346186222855,NA,NA,"model3",9,NA
"34",2016-01-28 17:00:00,"13",163.796803130629,441.793626051121,80.5688686684843,43.2529970151845,NA,NA,"model1",15,NA
"35",2016-01-28 17:00:00,"14",136.942220700229,432.527609148509,106.669054302299,30.88118785023,NA,NA,"model3",1,NA
"36",2016-01-28 17:00:00,"15",153.569745027062,454.647044376849,84.7193621845111,47.0041221756732,NA,NA,"model3",14,NA
"37",2016-01-28 17:00:00,"16",NA,462.697363039295,112.401611133904,44.3118432817357,NA,NA,"model1",3,NA
"38",2016-01-28 17:00:00,"17",NA,511.142830567543,99.0533703449374,39.7773924623743,NA,NA,"model1",14,NA
"39",2016-01-28 17:00:00,"18",171.506872555649,369.982575891877,88.4357056656378,49.9365309554976,NA,NA,"model3",15,NA
"40",2016-01-28 17:00:00,"19",155.123737325958,468.922890702648,100.735106738476,39.0361034257208,NA,NA,"model3",17,NA
"41",2016-01-28 17:00:00,"20",NA,472.554283226859,98.3603572045987,49.114480505932,NA,NA,"model2",16,NA
"42",2016-01-28 18:00:00,"10",NA,541.950816725785,109.449256776624,48.8785154335428,NA,NA,"model3",10,NA
"43",2016-01-28 18:00:00,"11",176.708594068218,448.62935270651,128.128178937387,41.5177217304911,NA,NA,"model2",6,NA
